comp,year,discp,seg,skname,nat,rank,order,tss,tes,tpcs,tded,tbv,pcs1f,pcs1j1,pcs1j2,pcs1j3,pcs1j4,pcs1j5,pcs1j6,pcs1j7,pcs1j8,pcs1j9,pcs1t,pcs2f,pcs2j1,pcs2j2,pcs2j3,pcs2j4,pcs2j5,pcs2j6,pcs2j7,pcs2j8,pcs2j9,pcs2t,pcs3f,pcs3j1,pcs3j2,pcs3j3,pcs3j4,pcs3j5,pcs3j6,pcs3j7,pcs3j8,pcs3j9,pcs3t,pcs4f,pcs4j1,pcs4j2,pcs4j3,pcs4j4,pcs4j5,pcs4j6,pcs4j7,pcs4j8,pcs4j9,pcs4t,pcs5f,pcs5j1,pcs5j2,pcs5j3,pcs5j4,pcs5j5,pcs5j6,pcs5j7,pcs5j8,pcs5j9,pcs5t,
owg,2018,0,0,Matteo RIZZO,ITA,23,5,75.63,39.23,36.40,0.00,35.43,1.00,7.50,7.50,7.00,7.50,7.25,7.25,8.00,7.00,6.75,7.29,1.00,7.50,7.25,6.75,7.25,6.75,7.25,7.75,7.00,6.50,7.11,1.00,7.00,7.75,7.00,7.75,7.00,7.50,8.00,7.00,6.50,7.29,1.00,7.25,7.50,7.00,7.75,7.50,7.25,7.75,7.50,7.00,7.39,1.00,7.00,7.50,7.25,7.50,7.25,7.50,8.00,7.25,6.75,7.32,
owg,2018,0,0,Paul FENTZ,GER,24,15,74.73,37.71,37.02,0.00,36.00,1.00,7.75,7.25,7.25,7.25,7.50,7.50,8.00,7.00,7.75,7.46,1.00,7.50,7.00,7.00,7.00,7.00,7.25,8.00,7.25,7.75,7.25,1.00,7.75,7.50,7.25,7.25,6.75,7.50,8.00,7.50,7.50,7.46,1.00,7.75,7.00,7.25,7.25,7.25,7.75,8.50,7.25,7.75,7.46,1.00,7.50,7.25,7.50,7.25,7.00,7.75,8.50,7.00,7.50,7.39,
owg,2018,0,0,Julian Zhi Jie YEE,MAS,25,9,73.58,38.37,35.21,0.00,38.06,1.00,6.75,7.75,7.50,6.75,7.25,6.75,8.00,6.75,6.50,7.07,1.00,6.50,7.25,7.00,6.50,6.75,7.00,7.50,6.75,6.50,6.82,1.00,6.75,7.75,7.00,7.25,6.75,7.50,8.00,6.50,6.75,7.11,1.00,7.00,7.25,7.25,7.00,7.25,7.25,8.00,7.00,6.75,7.14,1.00,7.00,7.50,7.50,6.75,7.00,7.00,8.25,6.75,6.75,7.07,
owg,2018,0,0,Chafik BESSEGHIER,FRA,26,2,72.10,38.41,33.69,0.00,35.60,1.00,6.75,7.50,7.00,6.50,6.00,6.75,7.00,7.00,6.50,6.79,1.00,6.00,7.25,7.00,6.25,5.50,6.50,6.00,6.25,6.00,6.29,1.00,7.00,7.50,7.25,6.75,6.00,7.00,6.75,7.25,6.25,6.89,1.00,6.75,7.25,7.25,6.75,6.25,7.00,6.75,7.00,6.50,6.86,1.00,6.75,7.25,7.25,7.00,6.50,7.25,6.75,6.50,6.00,6.86,
owg,2018,0,0,Denis TEN,KAZ,27,4,70.12,30.77,39.35,0.00,26.03,1.00,8.75,7.75,8.25,8.75,7.75,8.25,7.50,8.25,7.75,8.11,1.00,8.25,7.50,8.00,8.50,7.50,7.75,7.75,7.75,7.75,7.82,1.00,7.75,7.25,8.00,8.75,7.00,7.50,7.00,7.50,7.25,7.46,1.00,8.50,7.75,8.25,9.00,7.50,8.25,7.75,8.25,7.75,8.07,1.00,8.00,7.25,8.50,8.75,7.25,8.25,7.75,8.00,7.50,7.89,
owg,2018,0,0,Michael Christian MARTINEZ,PHI,28,6,55.56,26.04,29.52,0.00,25.71,1.00,5.75,6.00,5.75,6.25,5.75,5.25,6.25,6.00,6.50,5.96,1.00,5.75,5.50,5.50,6.00,5.25,5.00,6.00,5.50,6.25,5.64,1.00,6.00,5.75,5.75,6.50,5.50,5.50,6.50,5.75,6.50,5.96,1.00,6.25,5.50,5.75,6.50,5.75,5.25,6.25,6.00,6.50,6.00,1.00,6.25,5.75,5.75,6.75,5.75,5.50,6.50,5.50,6.25,5.96,
owg,2018,0,0,Felipe MONTOYA,ESP,29,1,52.41,22.59,30.82,-1.00,25.57,1.00,6.25,6.25,6.00,6.00,6.50,6.00,6.75,6.75,6.00,6.25,1.00,6.50,6.00,5.75,5.75,6.00,6.00,7.00,6.50,5.75,6.07,1.00,6.00,5.75,5.75,5.75,6.25,5.50,7.00,6.75,5.75,6.00,1.00,6.25,6.00,6.00,6.00,6.50,6.00,7.00,7.00,6.00,6.25,1.00,6.50,6.25,6.00,6.25,6.25,5.75,7.25,6.50,6.00,6.25,
owg,2018,0,0,Yaroslav PANIOT,UKR,30,7,46.58,18.68,29.90,-2.00,22.21,1.00,7.00,6.50,5.00,6.25,7.00,6.00,6.50,6.50,6.25,6.43,1.00,6.75,6.00,4.75,5.50,6.00,5.25,6.50,5.50,5.75,5.79,1.00,5.50,5.75,4.75,5.50,6.50,5.25,6.75,5.25,5.50,5.61,1.00,6.50,6.25,5.00,6.00,7.00,5.75,7.50,6.00,6.00,6.21,1.00,6.00,6.00,5.00,5.75,7.25,5.50,7.00,5.00,5.75,5.86,
owg,2018,1,0,Alina ZAGITOVA,OAR,1,28,82.92,45.30,37.62,0.00,34.97,0.80,9.50,9.75,9.25,9.25,9.25,8.75,9.50,9.25,9.50,9.36,0.80,9.50,9.25,9.00,9.25,9.25,9.00,9.25,9.00,9.25,9.18,0.80,9.75,9.75,9.25,9.75,9.75,9.00,9.75,9.50,9.75,9.64,0.80,9.75,9.50,9.25,9.50,9.50,9.25,9.25,9.50,9.50,9.43,0.80,9.75,9.50,9.00,9.50,9.50,9.25,9.50,9.50,9.25,9.43,
owg,2018,1,0,Evgenia MEDVEDEVA,OAR,2,25,81.61,43.19,38.42,0.00,33.10,0.80,9.50,9.75,9.25,9.50,9.25,9.25,9.75,9.75,9.75,9.54,0.80,9.50,9.50,9.00,9.50,9.00,9.25,9.75,9.50,9.50,9.39,0.80,9.75,10.00,9.50,9.75,9.50,9.50,10.00,9.75,9.75,9.71,0.80,9.75,9.75,9.25,9.75,9.50,9.50,9.75,9.75,10.00,9.68,0.80,9.75,9.75,9.25,9.50,9.50,9.50,10.00,10.00,10.00,9.71,
owg,2018,1,0,Kaetlyn OSMOND,CAN,3,27,78.87,41.83,37.04,0.00,32.53,0.80,9.50,9.50,9.00,9.50,9.50,9.50,9.00,8.75,9.25,9.32,0.80,9.00,9.25,8.75,9.50,9.25,9.25,8.75,8.50,8.75,9.00,0.80,9.50,9.50,9.25,9.75,9.75,9.25,9.00,9.00,9.25,9.36,0.80,9.50,9.50,9.00,9.75,9.75,9.50,8.75,8.75,9.00,9.29,0.80,9.50,9.50,9.00,10.00,9.75,9.50,9.00,9.00,9.00,9.32,
owg,2018,1,0,Satoko MIYAHARA,JPN,4,26,75.94,40.25,35.69,0.00,32.84,0.80,9.25,9.25,9.00,9.25,8.75,8.75,8.75,9.00,8.50,8.96,0.80,8.75,9.00,9.00,9.00,8.50,8.75,8.50,8.75,8.25,8.75,0.80,9.00,9.25,9.25,9.50,8.75,9.00,8.75,9.00,8.75,9.00,0.80,8.75,9.00,9.00,9.50,8.75,9.00,8.50,9.00,8.50,8.86,0.80,9.00,9.25,9.50,9.50,8.75,9.00,8.75,9.00,8.50,9.04,
owg,2018,1,0,Kaori SAKAMOTO,JPN,5,19,73.18,40.36,32.82,0.00,33.10,0.80,8.00,8.50,8.25,8.50,8.75,8.75,8.50,8.00,8.50,8.43,0.80,7.50,8.00,8.00,8.00,8.50,8.25,8.00,7.50,8.00,7.96,0.80,7.75,8.50,8.25,8.50,8.50,8.25,8.25,7.75,8.50,8.29,0.80,7.50,8.25,8.00,8.25,8.75,8.50,8.00,8.00,8.25,8.18,0.80,7.75,8.50,8.00,7.75,8.50,8.50,8.50,7.75,8.25,8.18,
owg,2018,1,0,Carolina KOSTNER,ITA,6,29,73.15,35.06,38.09,0.00,28.63,0.80,9.50,9.25,9.50,9.50,9.50,9.50,9.00,9.50,9.50,9.46,0.80,9.25,9.25,9.25,9.25,9.50,9.50,9.00,9.50,9.25,9.32,0.80,9.50,9.50,8.75,9.50,9.75,9.75,9.50,9.50,9.50,9.54,0.80,9.75,9.25,9.25,9.75,9.75,9.75,9.25,9.75,9.75,9.61,0.80,9.75,9.50,9.50,9.75,9.75,9.75,9.50,9.75,9.75,9.68,
